Address	Length	Type	String
HEADER:0000000140000260	00000008	C	.text
HEADER:0000000140000288	00000008	C	.rdata
HEADER:00000001400002B0	00000008	C	.data
HEADER:00000001400002D8	00000008	C	.pdata
HEADER:0000000140000300	00000008	C	_RDATA
HEADER:0000000140000328	00000008	C	.rsrc
HEADER:0000000140000350	00000008	C	.reloc
.rdata:0000000142DA5040	00000009	C	fmod.dll
.rdata:0000000142DA5050	00000029	C	easy handle already used in multi handle
.rdata:0000000142DA5080	00000019	C	application/octet-stream
.rdata:0000000142DA50A0	00000014	C	multipart/form-data
.rdata:0000000142DA50C0	00000006	C	FLUSH
.rdata:0000000142DA50C8	00000007	C	RELOAD
.rdata:0000000142DA50D0	0000000C	C	Set-Cookie:
.rdata:0000000142DA5188	00000028	C	Connection #%lld to host %s left intact
.rdata:0000000142DA51B0	0000002C	C	Resolving timed out after %lld milliseconds
.rdata:0000000142DA51E0	0000002D	C	Connection timed out after %lld milliseconds
.rdata:0000000142DA5210	00000051	C	Operation timed out after %lld milliseconds with %lld out of %lld bytes received
.rdata:0000000142DA5270	00000045	C	Operation timed out after %lld milliseconds with %lld bytes received
.rdata:0000000142DA52B8	0000001D	C	Cannot rewind mime/post data
.rdata:0000000142DA52D8	00000020	C	seek callback returned error %d
.rdata:0000000142DA52F8	0000001F	C	the ioctl callback returned %d
.rdata:0000000142DA5318	00000021	C	ioctl callback returned error %d
.rdata:0000000142DA5340	00000026	C	necessary data rewind wasn't possible
.rdata:0000000142DA5368	00000026	C	Transfer was pending, now try another
.rdata:0000000142DA5390	00000025	C	Hostname '%s' was found in DNS cache
.rdata:0000000142DA53B8	0000002A	C	operation aborted by pre-request callback
.rdata:0000000142DA53E8	00000028	C	Internal error removing splay node = %d
.rdata:0000000142DA5410	00000028	C	Internal error clearing splay node = %d
.rdata:0000000142DA5438	00000015	C	Unsupported protocol
.rdata:0000000142DA5450	00000016	C	Failed initialization
.rdata:0000000142DA5468	0000002C	C	URL using bad/illegal format or missing URL
.rdata:0000000142DA54A0	0000006D	C	A requested feature, protocol or option was not found built-in in this libcurl due to a build-time decision.
.rdata:0000000142DA5510	0000001C	C	Couldn't resolve proxy name
.rdata:0000000142DA5530	0000001B	C	Couldn't resolve host name
.rdata:0000000142DA5550	0000001B	C	Couldn't connect to server
.rdata:0000000142DA5570	00000013	C	Weird server reply
.rdata:0000000142DA5588	00000021	C	Access denied to remote resource
.rdata:0000000142DA55B0	0000002F	C	FTP: The server failed to connect to data port
.rdata:0000000142DA55E0	0000002C	C	FTP: Accepting server connect has timed out
.rdata:0000000142DA5610	00000031	C	FTP: The server did not accept the PRET command.
.rdata:0000000142DA5648	00000018	C	FTP: unknown PASS reply
.rdata:0000000142DA5660	00000018	C	FTP: unknown PASV reply
.rdata:0000000142DA5678	00000021	C	FTP: unknown 227 response format
.rdata:0000000142DA56A0	00000034	C	FTP: can't figure out the host in the PASV response
.rdata:0000000142DA56D8	00000021	C	Error in the HTTP2 framing layer
.rdata:0000000142DA5700	0000001C	C	FTP: couldn't set file type
.rdata:0000000142DA5720	0000001B	C	Transferred a partial file
.rdata:0000000142DA5740	00000038	C	FTP: couldn't retrieve (RETR failed) the specified file
.rdata:0000000142DA5778	0000001D	C	Quote command returned error
.rdata:0000000142DA5798	0000001E	C	HTTP response code said error
.rdata:0000000142DA57B8	00000031	C	Failed writing received data to disk/application
.rdata:0000000142DA57F0	0000002C	C	Upload failed (at start/before it took off)
.rdata:0000000142DA5820	00000035	C	Failed to open/read local data from file/application
.rdata:0000000142DA5858	00000014	C	Timeout was reached
.rdata:0000000142DA5870	00000019	C	FTP: command PORT failed
.rdata:0000000142DA5890	00000019	C	FTP: command REST failed
.rdata:0000000142DA58B0	00000030	C	Requested range was not delivered by the server
.rdata:0000000142DA58E0	00000025	C	Internal problem setting up the POST
.rdata:0000000142DA5908	00000012	C	SSL connect error
.rdata:0000000142DA5920	00000019	C	Couldn't resume download
.rdata:0000000142DA5940	0000001D	C	Couldn't read a file:// file
.rdata:0000000142DA5960	00000012	C	LDAP: cannot bind
.rdata:0000000142DA5978	00000014	C	LDAP: search failed
.rdata:0000000142DA5990	00000031	C	A required function in the library was not found
.rdata:0000000142DA59C8	00000031	C	Operation was aborted by an application callback
.rdata:0000000142DA5A00	0000002C	C	A libcurl function was given a bad argument
.rdata:0000000142DA5A30	00000024	C	Failed binding local connection end
.rdata:0000000142DA5A58	00000027	C	Number of redirects hit maximum amount
.rdata:0000000142DA5A80	0000002B	C	An unknown option was passed in to libcurl
.rdata:0000000142DA5AB0	00000026	C	Malformed option provided in a setopt
.rdata:0000000142DA5AD8	0000002E	C	Server returned nothing (no headers, no data)
.rdata:0000000142DA5B08	0000001C	C	SSL crypto engine not found
.rdata:0000000142DA5B28	00000029	C	Can not set SSL crypto engine as default
.rdata:0000000142DA5B58	00000027	C	Failed to initialise SSL crypto engine
.rdata:0000000142DA5B80	00000020	C	Failed sending data to the peer
.rdata:0000000142DA5BA0	0000002A	C	Failure when receiving data from the peer
.rdata:0000000142DA5BD0	00000027	C	Problem with the local SSL certificate
.rdata:0000000142DA5BF8	00000022	C	Couldn't use specified SSL cipher
.rdata:0000000142DA5C20	00000032	C	SSL peer certificate or SSH remote key was not OK
.rdata:0000000142DA5C58	00000034	C	Problem with the SSL CA cert (path? access rights?)
.rdata:0000000142DA5C90	00000036	C	Unrecognized or bad HTTP Content or Transfer-Encoding
.rdata:0000000142DA5CC8	0000001B	C	Maximum file size exceeded
.rdata:0000000142DA5CE8	0000001B	C	Requested SSL level failed
.rdata:0000000142DA5D08	00000027	C	Failed to shut down the SSL connection
.rdata:0000000142DA5D30	00000038	C	Failed to load CRL file (path? access rights?, format?)
.rdata:0000000142DA5D68	0000002D	C	Issuer check against peer certificate failed
.rdata:0000000142DA5D98	00000036	C	Send failed since rewinding of the data stream failed
